Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2018,Steelhead,The Dalles,1,NA,1,NA,NA,NA,148.4,138.333,NA
01-02-2018,Steelhead,The Dalles,3,NA,4,NA,NA,NA,143.7,135.028,NA
01-03-2018,Steelhead,The Dalles,2,2,6,2,NA,NA,170.6,143.216,NA
01-04-2018,Steelhead,The Dalles,1,NA,7,2,NA,NA,176.4,152.023,NA
01-05-2018,Steelhead,The Dalles,NA,NA,1,NA,NA,NA,177.6,143.593,NA
01-06-2018,Steelhead,The Dalles,1,NA,2,NA,NA,NA,172.3,143.477,NA
01-07-2018,Steelhead,The Dalles,1,NA,8,2,NA,NA,163,143.987,NA
01-08-2018,Steelhead,The Dalles,1,NA,9,2,NA,NA,137.9,144.76,NA
01-09-2018,Steelhead,The Dalles,NA,1,3,1,NA,NA,178.8,151.243,NA
01-10-2018,Steelhead,The Dalles,NA,NA,3,1,NA,NA,185.6,146.529,NA
01-11-2018,Steelhead,The Dalles,1,2,10,4,NA,NA,171.8,149.068,NA
01-12-2018,Steelhead,The Dalles,1,1,11,5,NA,NA,190.3,155.841,NA
01-13-2018,Steelhead,The Dalles,-1,1,4,2,NA,NA,200.8,143.627,NA
01-14-2018,Steelhead,The Dalles,1,NA,12,5,NA,NA,209.9,150.105,NA
01-15-2018,Steelhead,The Dalles,NA,-1,5,2,NA,NA,190.3,151.776,NA
01-16-2018,Steelhead,The Dalles,NA,1,5,3,NA,NA,196.5,156.428,NA
01-17-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,196.6,155.527,NA
01-18-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,198,155.888,NA
01-19-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,203.9,163.713,NA
01-20-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,193.9,151.38,NA
01-21-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,197.9,159.086,NA
01-22-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,192.9,154.466,NA
01-23-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,186.9,161.446,NA
01-24-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,196,158.912,NA
01-25-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,198.5,159.713,NA
01-26-2018,Steelhead,The Dalles,NA,NA,5,3,NA,NA,186.2,160.678,NA
