Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,136,138.333,NA
01-02-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,139,135.028,NA
01-03-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,143.6,143.216,NA
01-04-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,149.7,152.023,NA
01-05-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,141.9,143.593,NA
01-06-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,142.8,143.477,NA
01-07-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,134.9,143.987,NA
01-08-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,140.3,144.76,NA
01-09-2016,Steelhead,The Dalles,NA,1,NA,1,NA,NA,135.8,151.243,NA
01-10-2016,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,121.2,146.529,NA
01-11-2016,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,155.4,149.068,NA
01-12-2016,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,137.9,155.841,NA
01-13-2016,Steelhead,The Dalles,NA,1,NA,2,NA,NA,135.7,143.627,NA
01-14-2016,Steelhead,The Dalles,NA,1,NA,3,NA,NA,134.2,150.105,NA
01-15-2016,Steelhead,The Dalles,NA,-1,NA,2,NA,NA,126.6,151.776,NA
01-16-2016,Steelhead,The Dalles,NA,1,NA,3,NA,NA,147.6,156.428,NA
01-17-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,123.8,155.527,NA
01-18-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,105.7,155.888,NA
01-19-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,130,163.713,NA
01-20-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,120.3,151.38,NA
01-21-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,124.8,159.086,NA
01-22-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,89.3,154.466,NA
01-23-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,122.9,161.446,NA
01-24-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,129.3,158.912,NA
01-25-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,159.5,159.713,NA
01-26-2016,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,155.7,160.678,NA
01-27-2016,Steelhead,The Dalles,NA,1,NA,4,NA,NA,141.3,157.06,NA
01-28-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,160.3,160.763,NA
01-29-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,149.1,149.919,NA
01-30-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,164.5,147.026,NA
01-31-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,173.7,152.26,NA
02-01-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,156.1,145.262,NA
02-02-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,153.4,146.364,NA
02-03-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,155.1,139.774,NA
02-04-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,150.7,142.95,NA
02-05-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,118.4,137.223,NA
02-06-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,109.3,134.657,NA
02-07-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,105,134.099,NA
02-08-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,133.7,147.04,NA
02-09-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,124,142.811,NA
02-10-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,145.4,142.929,NA
02-11-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,156,149.749,NA
02-12-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,160.3,149.933,NA
02-13-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,158.5,142.982,NA
02-14-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,137.9,150.505,NA
02-15-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,145.7,156.634,NA
02-16-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,177.2,150.755,NA
02-17-2016,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,220,154.584,NA
02-18-2016,Steelhead,The Dalles,NA,1,NA,5,NA,NA,186.3,151.33,NA
02-19-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,186.4,153.018,NA
02-20-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,172.6,153.778,NA
02-21-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,209.7,148.829,NA
02-22-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,204.1,149.595,NA
02-23-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,170.9,148.112,NA
02-24-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,181.5,143.674,NA
02-25-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,176.411,135.496,NA
02-26-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,187.6,138.124,NA
02-27-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,154.3,148.405,NA
02-28-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,152.2,143.119,NA
02-29-2016,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,168.5,134.856,NA
03-01-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,187.3,143.922,NA
03-02-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,189.1,148.847,NA
03-03-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,158.5,144.169,NA
03-04-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,183.4,149.896,NA
03-05-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,202.6,151.661,NA
03-06-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,192.9,154.905,NA
03-07-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,179.4,154.771,NA
03-08-2016,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,201.8,158.701,NA
03-09-2016,Steelhead,The Dalles,NA,1,NA,6,NA,NA,229.2,163.966,NA
03-10-2016,Steelhead,The Dalles,NA,1,NA,7,NA,NA,213.7,156.875,8.3
03-11-2016,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,227.3,157.954,NA
03-12-2016,Steelhead,The Dalles,NA,1,NA,8,NA,NA,224.744,168.235,NA
03-13-2016,Steelhead,The Dalles,NA,NA,NA,8,NA,NA,192,159.402,NA
03-14-2016,Steelhead,The Dalles,NA,1,NA,9,NA,NA,188.5,165.895,NA
03-15-2016,Steelhead,The Dalles,NA,NA,NA,9,NA,6.98,206.3,163.028,NA
03-16-2016,Steelhead,The Dalles,NA,NA,NA,9,NA,7.095,195.5,160.196,NA
03-17-2016,Steelhead,The Dalles,NA,NA,NA,9,NA,7.128,202.7,169.35,NA
03-18-2016,Steelhead,The Dalles,NA,1,NA,10,NA,6.98,201,172.12,NA
03-19-2016,Steelhead,The Dalles,NA,1,NA,11,NA,7.005,196.2,176.96,NA
03-20-2016,Steelhead,The Dalles,NA,1,NA,12,NA,7.034,187.8,167.72,NA
03-21-2016,Steelhead,The Dalles,NA,2,NA,14,NA,6.958,190.5,173.916,NA
03-22-2016,Steelhead,The Dalles,NA,NA,NA,14,NA,7.07,184.9,174.335,NA
03-23-2016,Steelhead,The Dalles,NA,1,NA,15,NA,7.3,197.3,172.929,NA
03-24-2016,Steelhead,The Dalles,NA,1,NA,16,NA,7.404,189.6,177.791,NA
03-25-2016,Steelhead,The Dalles,NA,1,NA,17,NA,7.613,205.1,180.025,NA
03-26-2016,Steelhead,The Dalles,NA,NA,NA,17,NA,7.727,200.6,182.945,NA
03-27-2016,Steelhead,The Dalles,NA,1,NA,18,NA,7.867,186.5,185.21,NA
03-28-2016,Steelhead,The Dalles,NA,1,NA,19,NA,7.96,199.8,183.687,NA
03-29-2016,Steelhead,The Dalles,NA,2,NA,21,NA,8.103,199.4,185.512,NA
03-30-2016,Steelhead,The Dalles,NA,5,NA,26,NA,8.315,181.1,199.71,NA
03-31-2016,Steelhead,The Dalles,NA,3,NA,29,NA,8.485,197,203.36,NA
04-01-2016,Steelhead,The Dalles,21,65,21,65,NA,8.699,209.9,206.24,NA
04-02-2016,Steelhead,The Dalles,26,53,47,118,NA,8.969,185.2,203.366,NA
04-03-2016,Steelhead,The Dalles,15,63,62,181,NA,9.15,172.2,210.572,NA
04-04-2016,Steelhead,The Dalles,15,48,77,229,NA,9.364,170.1,205.555,NA
04-05-2016,Steelhead,The Dalles,17,45,94,274,NA,9.434,205.7,209.846,8.2
04-06-2016,Steelhead,The Dalles,7,37,101,311,NA,9.542,219.5,208.217,NA
04-07-2016,Steelhead,The Dalles,15,38,116,349,NA,9.8,234.3,208.915,14.5
04-08-2016,Steelhead,The Dalles,13,39,129,388,NA,10.057,246.7,197.354,15.9
04-09-2016,Steelhead,The Dalles,19,37,148,425,NA,10.375,210.2,202.217,NA
04-10-2016,Steelhead,The Dalles,17,30,165,455,NA,10.644,227.3,210.144,90.3
04-11-2016,Steelhead,The Dalles,14,37,179,492,NA,10.934,222.4,211.28,89.4
04-12-2016,Steelhead,The Dalles,10,37,189,529,NA,11.228,238.1,213.905,106.1
04-13-2016,Steelhead,The Dalles,18,38,207,567,NA,11.175,253.5,208.262,100.9
04-14-2016,Steelhead,The Dalles,8,36,215,603,NA,11.095,289.2,214.764,115.7
04-15-2016,Steelhead,The Dalles,6,35,221,638,NA,11.075,311,221.722,124.2
04-16-2016,Steelhead,The Dalles,7,32,228,670,NA,11.262,315.3,215.244,125.9
04-17-2016,Steelhead,The Dalles,10,27,238,697,NA,11.467,300.2,213.838,119.9
04-18-2016,Steelhead,The Dalles,8,23,246,720,NA,11.665,310.3,212.514,123.6
04-19-2016,Steelhead,The Dalles,7,19,253,739,NA,11.795,284.9,207.291,113.8
04-20-2016,Steelhead,The Dalles,5,20,258,759,NA,11.761,275.8,219.055,110.5
04-21-2016,Steelhead,The Dalles,4,16,262,775,NA,11.849,286.3,221.036,111.8
04-22-2016,Steelhead,The Dalles,5,20,267,795,NA,11.839,322.7,231.303,123.3
04-23-2016,Steelhead,The Dalles,4,13,271,808,NA,11.873,315.6,236.331,112.1
04-24-2016,Steelhead,The Dalles,5,16,276,824,NA,11.919,330.2,234.695,116.5
04-25-2016,Steelhead,The Dalles,1,11,277,835,NA,11.76,331.6,244.685,128.1
04-26-2016,Steelhead,The Dalles,3,12,280,847,NA,11.789,308,241.521,123.2
04-27-2016,Steelhead,The Dalles,5,11,285,858,NA,11.925,285.8,237.958,114.1
04-28-2016,Steelhead,The Dalles,1,12,286,870,NA,11.998,299.1,237.772,119.3
04-29-2016,Steelhead,The Dalles,17,91,171,376,NA,12.045,280.1,228.763,111.9
04-30-2016,Steelhead,The Dalles,2,11,288,881,NA,12.114,268.8,223.648,108
05-01-2016,Steelhead,The Dalles,5,9,293,890,NA,12.415,258.5,235.06,103.6
05-02-2016,Steelhead,The Dalles,2,11,295,901,NA,12.693,249,233.025,99.2
05-03-2016,Steelhead,The Dalles,190,247,686,1085,NA,12.792,234.7,229.539,94
05-04-2016,Steelhead,The Dalles,3,10,298,911,NA,12.852,239.3,229.36,95.7
05-05-2016,Steelhead,The Dalles,1,8,299,919,NA,13.102,233.6,228.414,93.5
05-06-2016,Steelhead,The Dalles,1,8,300,927,NA,13.366,263.3,239.798,105.3
05-07-2016,Steelhead,The Dalles,1,11,301,938,NA,13.69,249.4,237.415,100
05-08-2016,Steelhead,The Dalles,1,9,302,947,NA,13.854,278.7,235.52,110.7
05-09-2016,Steelhead,The Dalles,4,11,306,958,NA,13.785,270.3,248.662,107
05-10-2016,Steelhead,The Dalles,496,1016,3733,5553,NA,14.132,287,247.251,113.9
05-11-2016,Steelhead,The Dalles,245,1120,3978,6673,NA,14.428,274.6,245.031,108.6
05-12-2016,Steelhead,The Dalles,379,1233,4357,7906,NA,14.512,264.9,258.22,104.2
05-13-2016,Steelhead,The Dalles,1,10,307,968,NA,14.653,256.7,259.344,103.3
05-14-2016,Steelhead,The Dalles,1,8,308,976,NA,14.935,235.1,250.142,94
05-15-2016,Steelhead,The Dalles,3,11,311,987,NA,14.664,229.2,257.623,91.8
05-16-2016,Steelhead,The Dalles,232,1126,6174,12128,NA,14.587,246.7,264.26,98.6
05-17-2016,Steelhead,The Dalles,3,16,314,1003,NA,14.857,254,270.192,102.1
05-18-2016,Steelhead,The Dalles,4,9,318,1012,NA,15.15,214,288.232,85.6
05-19-2016,Steelhead,The Dalles,2,10,320,1022,NA,14.964,218.2,297.923,87.6
05-20-2016,Steelhead,The Dalles,3,11,323,1033,NA,14.914,247.7,297.365,99.1
05-21-2016,Steelhead,The Dalles,4,11,327,1044,NA,14.915,216.7,301.048,86.9
05-22-2016,Steelhead,The Dalles,3,8,330,1052,NA,14.709,184.5,291.398,73.6
05-23-2016,Steelhead,The Dalles,6,12,336,1064,NA,14.831,197,296.077,78.4
05-24-2016,Steelhead,The Dalles,1,11,337,1075,NA,14.957,212.7,303.445,84.7
05-25-2016,Steelhead,The Dalles,2,10,339,1085,NA,15.119,209.4,300.755,83.4
05-26-2016,Steelhead,The Dalles,2,13,341,1098,NA,15.03,202.5,292.901,81.1
05-27-2016,Steelhead,The Dalles,1,14,342,1112,NA,14.778,211.2,293.092,84.6
05-28-2016,Steelhead,The Dalles,1,17,343,1129,NA,14.848,190.7,293.965,76.1
05-29-2016,Steelhead,The Dalles,5,15,348,1144,NA,15.15,174.9,284.01,69.9
05-30-2016,Steelhead,The Dalles,8,19,356,1163,NA,15.286,201.6,290.706,80.5
05-31-2016,Steelhead,The Dalles,3,18,359,1181,NA,15.656,207.2,284.6,82.8
06-01-2016,Steelhead,The Dalles,12,19,371,1200,NA,16,163.9,277.353,65.8
06-02-2016,Steelhead,The Dalles,14,19,385,1219,NA,16.074,192.4,279.175,77.1
06-03-2016,Steelhead,The Dalles,13,19,398,1238,NA,16.301,202.7,292.169,81
06-04-2016,Steelhead,The Dalles,25,26,423,1264,NA,16.799,194.2,292.938,77.4
