Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,107.846,138.333,NA
01-02-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,113.825,135.028,NA
01-03-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,118.808,143.216,NA
01-04-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,113.138,152.023,NA
01-05-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,113.021,143.593,NA
01-06-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,141.354,143.477,NA
01-07-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,142.208,143.987,NA
01-08-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,138.133,144.76,NA
01-09-2014,Steelhead,The Dalles,NA,1,NA,1,NA,NA,143.263,151.243,NA
01-10-2014,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,142.308,146.529,NA
01-11-2014,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,97.129,149.068,NA
01-12-2014,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,135.196,155.841,NA
01-13-2014,Steelhead,The Dalles,NA,1,NA,2,NA,NA,112.967,143.627,NA
01-14-2014,Steelhead,The Dalles,NA,1,NA,3,NA,NA,110.325,150.105,NA
01-15-2014,Steelhead,The Dalles,NA,-1,NA,2,NA,NA,118.646,151.776,NA
01-16-2014,Steelhead,The Dalles,NA,1,NA,3,NA,NA,136.321,156.428,NA
01-17-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,123.717,155.527,NA
01-18-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,122.05,155.888,NA
01-19-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,120.733,163.713,NA
01-20-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,127.25,151.38,NA
01-21-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,135.821,159.086,NA
01-22-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,135.508,154.466,NA
01-23-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,125.779,161.446,NA
01-24-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,130.346,158.912,NA
01-25-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,121.921,159.713,NA
01-26-2014,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,132.642,160.678,NA
01-27-2014,Steelhead,The Dalles,NA,1,NA,4,NA,NA,118.3,157.06,NA
01-28-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,131.792,160.763,NA
01-29-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,107.825,149.919,NA
01-30-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,102.888,147.026,NA
01-31-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,111.754,152.26,NA
02-01-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,112.325,145.262,NA
02-02-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,108.692,146.364,NA
02-03-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,108.925,139.774,NA
02-04-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,111.308,142.95,NA
02-05-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,120.467,137.223,NA
02-06-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,137.321,134.657,NA
02-07-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,125.992,134.099,NA
02-08-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,126.171,147.04,NA
02-09-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,124.325,142.811,NA
02-10-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,123.438,142.929,NA
02-11-2014,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,116.667,149.749,NA
02-12-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,92.071,149.933,NA
02-13-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,77.408,142.982,NA
02-14-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,120.796,150.505,NA
02-15-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,144.646,156.634,NA
02-16-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,105.229,150.755,NA
02-17-2014,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,133.463,154.584,NA
02-18-2014,Steelhead,The Dalles,NA,1,NA,5,NA,NA,139.304,151.33,NA
02-19-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,116.221,153.018,NA
02-20-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,120.288,153.778,NA
02-21-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,105.388,148.829,NA
02-22-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,123.683,149.595,NA
02-23-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,118.896,148.112,NA
02-24-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,115.013,143.674,NA
02-25-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,113.729,135.496,NA
02-26-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,112.675,138.124,NA
02-27-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,123.65,148.405,NA
02-28-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,123.45,143.119,NA
03-01-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,133.513,143.922,NA
03-02-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,153.304,148.847,NA
03-03-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,161.858,144.169,NA
03-04-2014,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,168.613,149.896,NA
03-05-2014,Steelhead,The Dalles,NA,1,NA,6,NA,NA,167.613,151.661,NA
03-06-2014,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,187.313,154.905,NA
03-07-2014,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,214.492,154.771,NA
03-08-2014,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,236.288,158.701,NA
03-09-2014,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,222.238,163.966,NA
03-10-2014,Steelhead,The Dalles,NA,2,NA,8,NA,NA,237.075,156.875,NA
03-11-2014,Steelhead,The Dalles,NA,2,NA,10,NA,NA,272.9,157.954,NA
03-12-2014,Steelhead,The Dalles,NA,2,NA,12,NA,5.173,278.563,168.235,NA
03-13-2014,Steelhead,The Dalles,NA,1,NA,13,NA,5.471,241.742,159.402,NA
03-14-2014,Steelhead,The Dalles,NA,2,NA,15,NA,5.933,234.542,165.895,NA
03-15-2014,Steelhead,The Dalles,NA,4,NA,19,NA,6.283,239.908,163.028,19.008
03-16-2014,Steelhead,The Dalles,NA,3,NA,22,NA,6.529,219.408,160.196,46.171
03-17-2014,Steelhead,The Dalles,NA,1,NA,23,NA,6.625,235.017,169.35,31.842
03-18-2014,Steelhead,The Dalles,NA,3,NA,26,NA,6.604,235.838,172.12,34.408
03-19-2014,Steelhead,The Dalles,NA,4,NA,30,NA,6.771,240.242,176.96,18.704
03-20-2014,Steelhead,The Dalles,NA,4,NA,34,NA,6.752,249.654,167.72,14.488
03-21-2014,Steelhead,The Dalles,NA,2,NA,36,NA,6.754,241.7,173.916,NA
03-22-2014,Steelhead,The Dalles,NA,2,NA,38,NA,6.767,233.033,174.335,NA
03-23-2014,Steelhead,The Dalles,NA,3,NA,41,NA,6.929,215.342,172.929,NA
03-24-2014,Steelhead,The Dalles,NA,4,NA,45,NA,7.046,206.15,177.791,NA
03-25-2014,Steelhead,The Dalles,NA,4,NA,49,NA,7.013,196.154,180.025,NA
03-26-2014,Steelhead,The Dalles,NA,4,NA,53,NA,6.942,211.65,182.945,NA
03-27-2014,Steelhead,The Dalles,NA,1,NA,54,NA,6.904,204.158,185.21,NA
03-28-2014,Steelhead,The Dalles,NA,1,NA,55,NA,6.913,218.125,183.687,NA
03-29-2014,Steelhead,The Dalles,NA,5,NA,60,NA,6.842,204.533,185.512,NA
03-30-2014,Steelhead,The Dalles,NA,6,NA,66,NA,6.875,228.163,199.71,NA
03-31-2014,Steelhead,The Dalles,NA,2,NA,68,NA,6.867,238.338,203.36,NA
04-01-2014,Steelhead,The Dalles,12,68,12,68,NA,6.983,221.175,206.24,NA
04-02-2014,Steelhead,The Dalles,18,53,30,121,NA,7.067,217.183,203.366,NA
04-03-2014,Steelhead,The Dalles,13,67,43,188,NA,7.25,211.196,210.572,NA
04-04-2014,Steelhead,The Dalles,12,50,55,238,NA,7.496,209.871,205.555,NA
04-05-2014,Steelhead,The Dalles,12,52,67,290,NA,7.571,229.613,209.846,NA
04-06-2014,Steelhead,The Dalles,4,47,71,337,NA,7.783,208.654,208.217,NA
04-07-2014,Steelhead,The Dalles,10,46,81,383,NA,8.129,209.546,208.915,NA
04-08-2014,Steelhead,The Dalles,19,44,100,427,NA,8.342,205.579,197.354,NA
04-09-2014,Steelhead,The Dalles,9,45,109,472,NA,8.579,205.342,202.217,0.05
04-10-2014,Steelhead,The Dalles,6,34,115,506,NA,8.733,238.542,210.144,95.388
04-11-2014,Steelhead,The Dalles,9,41,124,547,NA,9.025,221.588,211.28,88.608
04-12-2014,Steelhead,The Dalles,18,39,142,586,NA,9.292,213.758,213.905,85.463
04-13-2014,Steelhead,The Dalles,11,41,153,627,NA,9.45,228.279,208.262,90.996
04-14-2014,Steelhead,The Dalles,23,37,176,664,NA,9.558,214.654,214.764,85.888
04-15-2014,Steelhead,The Dalles,19,38,195,702,NA,9.675,212.946,221.722,95.521
04-16-2014,Steelhead,The Dalles,19,36,214,738,NA,9.796,237.708,215.244,95.1
04-17-2014,Steelhead,The Dalles,24,26,238,764,NA,9.925,237.008,213.838,96.613
04-18-2014,Steelhead,The Dalles,13,25,251,789,NA,9.879,226.875,212.514,90.625
04-19-2014,Steelhead,The Dalles,7,21,258,810,NA,9.779,243.475,207.291,96.917
04-20-2014,Steelhead,The Dalles,5,24,263,834,NA,9.871,249.838,219.055,100
04-21-2014,Steelhead,The Dalles,8,18,271,852,NA,9.933,232.6,221.036,92.658
04-22-2014,Steelhead,The Dalles,17,21,288,873,NA,9.933,237.742,231.303,97.229
04-23-2014,Steelhead,The Dalles,9,16,297,889,NA,9.842,247.413,236.331,112.975
04-24-2014,Steelhead,The Dalles,8,19,305,908,NA,9.925,234.888,234.695,119.629
04-25-2014,Steelhead,The Dalles,5,14,310,922,NA,9.888,254.075,244.685,130.621
04-26-2014,Steelhead,The Dalles,13,15,323,937,NA,9.867,254.05,241.521,122.554
04-27-2014,Steelhead,The Dalles,2,13,325,950,NA,9.958,245.104,237.958,101.583
04-28-2014,Steelhead,The Dalles,18,12,343,962,NA,10,249.658,237.772,99.946
04-29-2014,Steelhead,The Dalles,9,13,352,975,NA,10.267,276.325,228.763,110.588
04-30-2014,Steelhead,The Dalles,9,11,361,986,NA,10.354,244.754,223.648,103.042
05-01-2014,Steelhead,The Dalles,12,11,373,997,NA,10.533,238.988,235.06,95.658
05-02-2014,Steelhead,The Dalles,14,11,387,1008,NA,10.717,240.788,233.025,94.083
05-03-2014,Steelhead,The Dalles,15,11,402,1019,NA,10.9,250.183,229.539,97.433
05-04-2014,Steelhead,The Dalles,12,10,414,1029,NA,11.088,260.679,229.36,97.492
05-05-2014,Steelhead,The Dalles,6,8,420,1037,NA,11.421,275.233,228.414,96.633
05-06-2014,Steelhead,The Dalles,8,8,428,1045,NA,11.738,312.717,239.798,94.425
05-07-2014,Steelhead,The Dalles,22,11,450,1056,NA,11.958,281.254,237.415,94.888
05-08-2014,Steelhead,The Dalles,11,10,461,1066,NA,12.133,278.188,235.52,97.446
05-09-2014,Steelhead,The Dalles,10,13,471,1079,NA,12.208,265.554,248.662,101.85
05-10-2014,Steelhead,The Dalles,31,10,502,1089,NA,12.188,231.092,247.251,92.967
05-11-2014,Steelhead,The Dalles,19,10,521,1099,NA,12.271,272.504,245.031,107.746
05-12-2014,Steelhead,The Dalles,11,8,532,1107,NA,12.396,276.263,258.22,109.142
05-13-2014,Steelhead,The Dalles,13,11,545,1118,NA,12.425,265.838,259.344,106.238
05-14-2014,Steelhead,The Dalles,15,9,560,1127,NA,12.688,241.354,250.142,96.379
05-15-2014,Steelhead,The Dalles,20,12,580,1139,NA,12.986,246.925,257.623,96.575
05-16-2014,Steelhead,The Dalles,14,12,594,1151,NA,13.1,262.067,264.26,94.763
05-17-2014,Steelhead,The Dalles,23,17,617,1168,NA,13.5,298.254,270.192,96
05-18-2014,Steelhead,The Dalles,22,13,639,1181,NA,13.542,312.738,288.232,98.45
05-19-2014,Steelhead,The Dalles,24,11,663,1192,NA,13.729,331.696,297.923,118.571
05-20-2014,Steelhead,The Dalles,23,12,686,1204,NA,13.913,330.071,297.365,128
05-21-2014,Steelhead,The Dalles,28,13,714,1217,NA,13.913,311.483,301.048,120.225
05-22-2014,Steelhead,The Dalles,27,9,741,1226,NA,13.983,292.971,291.398,104.392
05-23-2014,Steelhead,The Dalles,32,13,773,1239,NA,14.121,328.263,296.077,125.079
05-24-2014,Steelhead,The Dalles,25,12,798,1251,NA,14.104,339.488,303.445,124.942
05-25-2014,Steelhead,The Dalles,8,13,806,1264,NA,14.192,344.271,300.755,130.929
05-26-2014,Steelhead,The Dalles,31,14,837,1278,NA,14.296,336.646,292.901,129.292
05-27-2014,Steelhead,The Dalles,16,16,853,1294,NA,14.458,357.679,293.092,135.517
05-28-2014,Steelhead,The Dalles,18,18,871,1312,NA,14.5,350.221,293.965,130.117
05-29-2014,Steelhead,The Dalles,17,28,888,1340,NA,14.65,340.258,284.01,129.192
05-30-2014,Steelhead,The Dalles,22,23,910,1363,NA,14.441,337.458,290.706,129.838
05-31-2014,Steelhead,The Dalles,18,23,928,1386,NA,14.475,314.208,284.6,105.871
06-01-2014,Steelhead,The Dalles,13,28,941,1414,NA,14.3,307.992,277.353,104.783
06-02-2014,Steelhead,The Dalles,23,25,964,1439,NA,14.831,336.675,279.175,126.367
