Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,188.521,138.333,NA
01-02-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,178.488,135.028,NA
01-03-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,168.721,143.216,NA
01-04-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,195.979,152.023,NA
01-05-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,167.221,143.593,NA
01-06-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,149.742,143.477,NA
01-07-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,179.433,143.987,NA
01-08-2015,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,181.813,144.76,NA
01-09-2015,Steelhead,The Dalles,NA,1,NA,1,NA,NA,184.117,151.243,NA
01-10-2015,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,182.7,146.529,NA
01-11-2015,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,189.217,149.068,NA
01-12-2015,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,186.604,155.841,NA
01-13-2015,Steelhead,The Dalles,NA,1,NA,2,NA,NA,191.733,143.627,NA
01-14-2015,Steelhead,The Dalles,NA,1,NA,3,NA,NA,182.013,150.105,NA
01-15-2015,Steelhead,The Dalles,NA,-1,NA,2,NA,NA,185.342,151.776,NA
01-16-2015,Steelhead,The Dalles,NA,1,NA,3,NA,NA,170.925,156.428,NA
01-17-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,193.954,155.527,NA
01-18-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,159.642,155.888,NA
01-19-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,188.779,163.713,NA
01-20-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,184.908,151.38,NA
01-21-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,211.883,159.086,NA
01-22-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,202.971,154.466,NA
01-23-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,190.125,161.446,NA
01-24-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,174.004,158.912,NA
01-25-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,172.375,159.713,NA
01-26-2015,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,178.458,160.678,NA
01-27-2015,Steelhead,The Dalles,NA,1,NA,4,NA,NA,190.175,157.06,NA
01-28-2015,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,190.1,160.763,NA
01-29-2015,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,190.963,149.919,NA
01-30-2015,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,200.533,147.026,NA
01-31-2015,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,198.6,152.26,NA
