basin_code,basin
170101,Kootenai
170102,Pend Oreille
170103,Spokane
170200,Upper Columbia
170300,Yakima
170401,Snake Headwaters
170402,Upper Snake
170501,Middle Snake-Boise
170502,Middle Snake-Powder
170601,Lower Snake
170602,Salmon
170603,Clearwater
170701,Middle Columbia
170702,John Day
170703,Deschutes
170800,Lower Columbia
170900,Willamette
