Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2019,Steelhead,The Dalles,NA,1,NA,1,NA,NA,125.633,138.333,NA
01-02-2019,Steelhead,The Dalles,NA,1,NA,2,NA,NA,125.738,135.028,NA
01-03-2019,Steelhead,The Dalles,NA,NA,NA,2,NA,NA,117.025,143.216,NA
01-04-2019,Steelhead,The Dalles,NA,-1,NA,1,NA,NA,114.321,152.023,NA
01-05-2019,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,141.533,143.593,NA
01-06-2019,Steelhead,The Dalles,NA,1,NA,2,NA,NA,120.163,143.477,NA
01-07-2019,Steelhead,The Dalles,NA,NA,NA,2,NA,NA,122.433,143.987,NA
01-08-2019,Steelhead,The Dalles,NA,1,NA,3,NA,NA,139.067,144.76,NA
01-09-2019,Steelhead,The Dalles,NA,1,NA,4,NA,NA,138.983,151.243,NA
01-10-2019,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,138.808,146.529,NA
01-11-2019,Steelhead,The Dalles,NA,NA,NA,4,NA,NA,147.442,149.068,NA
01-12-2019,Steelhead,The Dalles,NA,1,NA,5,NA,NA,138.225,155.841,NA
01-13-2019,Steelhead,The Dalles,NA,NA,NA,5,NA,NA,107.896,143.627,NA
01-14-2019,Steelhead,The Dalles,NA,1,NA,6,NA,NA,138.092,150.105,NA
01-15-2019,Steelhead,The Dalles,NA,-1,NA,5,NA,NA,148.138,151.776,NA
01-16-2019,Steelhead,The Dalles,NA,1,NA,6,NA,NA,149.7,156.428,NA
01-17-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,142.371,155.527,NA
01-18-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,112.325,155.888,NA
01-19-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,107.413,163.713,NA
01-20-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,106.942,151.38,NA
01-21-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,94.571,159.086,NA
01-22-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,132.138,154.466,NA
01-23-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,106.729,161.446,NA
01-24-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,129.783,158.912,NA
01-25-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,122.842,159.713,NA
01-26-2019,Steelhead,The Dalles,NA,NA,NA,6,NA,NA,128.871,160.678,NA
01-27-2019,Steelhead,The Dalles,NA,1,NA,7,NA,NA,111.021,157.06,NA
01-28-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,116.488,160.763,NA
01-29-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,132.092,149.919,NA
01-30-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,137.638,147.026,NA
01-31-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,133.921,152.26,NA
02-01-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,133.183,145.262,NA
02-02-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,134.004,146.364,NA
02-03-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,122.038,139.774,NA
02-04-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,127.625,142.95,NA
02-05-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,134.25,137.223,NA
02-06-2019,Steelhead,The Dalles,NA,NA,NA,7,NA,NA,142.563,134.657,NA
02-07-2019,Steelhead,The Dalles,NA,1,NA,8,NA,NA,127.692,134.099,NA
02-08-2019,Steelhead,The Dalles,NA,NA,NA,8,NA,NA,132.333,147.04,NA
