Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,156.2,138.333,NA
01-02-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,159,135.028,NA
01-03-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,168.4,143.216,NA
01-04-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,165.3,152.023,NA
01-05-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,192.2,143.593,NA
01-06-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,187.4,143.477,NA
01-07-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,186.3,143.987,NA
01-08-2017,Steelhead,The Dalles,NA,NA,NA,NA,NA,NA,176.2,144.76,NA
01-09-2017,Steelhead,The Dalles,NA,1,NA,1,NA,NA,162.6,151.243,NA
01-10-2017,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,166.4,146.529,NA
01-11-2017,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,178.8,149.068,NA
01-12-2017,Steelhead,The Dalles,NA,NA,NA,1,NA,NA,183.1,155.841,NA
01-13-2017,Steelhead,The Dalles,NA,1,NA,2,NA,NA,174.7,143.627,NA
01-14-2017,Steelhead,The Dalles,NA,1,NA,3,NA,NA,168.8,150.105,NA
01-15-2017,Steelhead,The Dalles,NA,-1,NA,2,NA,NA,177.5,151.776,NA
01-16-2017,Steelhead,The Dalles,NA,1,NA,3,NA,NA,170.6,156.428,NA
01-17-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,179.8,155.527,NA
01-18-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,173.2,155.888,NA
01-19-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,166.3,163.713,NA
01-20-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,163.9,151.38,NA
01-21-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,154.5,159.086,NA
01-22-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,145.9,154.466,NA
01-23-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,160.7,161.446,NA
01-24-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,170.7,158.912,NA
01-25-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,156.2,159.713,NA
01-26-2017,Steelhead,The Dalles,NA,NA,NA,3,NA,NA,146.7,160.678,NA
01-27-2017,Steelhead,The Dalles,NA,1,NA,4,NA,NA,154.4,157.06,NA
